latitude;longitude;endereco_completo;rua;numero;bairro;cidade;estado;cep;pais;place_id;geocoder_usado
-8,063848372;-34,91202544;R. Padre Teófilo Tworz, 40 - Bongi, Recife - PE, 50830-240, Brasil;Rua Padre Teófilo Tworz;40;Bongi;Recife;PE;50830-240;Brasil;ChIJLT6ztCgZqwcRafHpWnOk3D4;google
-8,118218528;-34,91759329;R. Raul Leoni, 47 - Imbiribeira, Recife - PE, 51190-550, Brasil;Rua Raul Leoni;47;Imbiribeira;Recife;PE;51190-550;Brasil;ChIJi-RlVUUeqwcRgZCNh-Qk0fY;google
-8,063652209;-34,88702698;R. da Alegria, 119 - Boa Vista, Recife - PE, 50060-260, Brasil;Rua da Alegria;119;Boa Vista;Recife;PE;50060-260;Brasil;ChIJaZkorccYqwcRN6M4KAtbDI0;google
-8,096775153;-34,91474151;R. Padre Carlos Leôncio, 10 - Imbiribeira, Recife - PE, 51170-400, Brasil;Rua Padre Carlos Leôncio;10;Imbiribeira;Recife;PE;51170-400;Brasil;ChIJAzzrTOQeqwcRZF9fFg0z5eE;google
-8,104280118;-34,92571629;R. Col. Isabel, 77 - Ipsep, Recife - PE, 51350-391, Brasil;Rua Colônia Isabel;77;Ipsep;Recife;PE;51350-391;Brasil;ChIJrw6UYPQeqwcRHNhuOfdQnQU;google
-8,080534084;-34,93097383;R. Humberto de Campos, 495 - Estância, Recife - PE, 50865-110, Brasil;Rua Humberto de Campos;495;Estância;Recife;PE;50865-110;Brasil;ChIJ9QOlNrgeqwcR19iliGRteRI;google
-8,082961857;-34,93025772;R. Peroba, 230 - Estância, Recife - PE, 50865-050, Brasil;Rua Peroba;230;Estância;Recife;PE;50865-050;Brasil;ChIJOyto7LgeqwcRzoyfsqHoY-Y;google
-8,132216086;-34,94936389;R. Dr. Otávio de Morães Vasconcelos, 67 - COHAB, Recife - PE, 51320-030, Brasil;Rua Doutor Otávio de Morães Vasconcelos;67;COHAB;Recife;PE;51320-030;Brasil;ChIJOxwOFQgeqwcRQI51uCPI5S0;google
-8,135830907;-34,93390615;R. Josias Rodrigues dos Santos, 15 - Jordão, Recife - PE, 51250-280, Brasil;Rua Josias Rodrigues dos Santos;15;Jordão;Recife;PE;51250-280;Brasil;ChIJl7419BkeqwcR_iwt8PMkkS0;google
-8,132269568;-34,9493097;R. Dr. Otávio de Morães Vasconcelos, 67 - COHAB, Recife - PE, 51320-030, Brasil;Rua Doutor Otávio de Morães Vasconcelos;67;COHAB;Recife;PE;51320-030;Brasil;ChIJOxwOFQgeqwcRQI51uCPI5S0;google
-8,034424631;-34,9415327;Av. Professor Joaquim Cavalcanti, 640 - Caxangá, Recife - PE, 50800-010, Brasil;Avenida Professor Joaquim Cavalcanti;640;Caxangá;Recife;PE;50800-010;Brasil;ChIJObhfT3gZqwcRmIEmuy2uHlU;google
-7,980379637;-34,91682464;R. Beija Flôr, 120 - Passarinho, Recife - PE, 51290-587, Brasil;Rua Beija Flôr;120;Passarinho;Recife;PE;51290-587;Brasil;ChIJRQi8vHIXqwcR1XqKKr3_-Ao;google
-8,119182244;-34,94483811;R. Beija Flôr, 11 - COHAB, Recife - PE, 51290-605, Brasil;Rua Beija Flôr;11;COHAB;Recife;PE;51290-605;Brasil;ChIJewMkTHEeqwcRfXkZ1cpUw6k;google
-8,106132775;-34,95047194;Tv. Frei Damião, 100 - Barro, Recife - PE, 51275-200, Brasil;Travessa Frei Damião;100;Barro;Recife;PE;51275-200;Brasil;ChIJ0Z-a938eqwcReM9dL80QPT0;google
-8,044917421;-34,91764571;R. Carapicuíba, 4 - Cordeiro, Recife - PE, 50620-300, Brasil;Rua Carapicuíba;4;Cordeiro;Recife;PE;50620-300;Brasil;ChIJVQ0PdxAZqwcRTcDO65TkfN8;google
-8,043022404;-34,91994849;R. Cantora Clara Nunes, 34 - Torre, Recife - PE, 50711-550, Brasil;Rua Cantora Clara Nunes;34;Torre;Recife;PE;50711-550;Brasil;ChIJB3QxyQ8ZqwcRDOlPpePLz94;google
